	GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	Unnamed: 46
115	URN:CornellLabOfOrnithology:EBIRD:OBS692550401	2019-01-03 22:24:13.0	10859	species	Greater Flameback	Chrysocolaptes guttacristatus			5				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Baza trail Thattekkad	L8348242	P	10.1281268	76.6887947	2019-01-02	07:00:00	obsr668105	S51204023	Traveling	P22	EBIRD	255.0	3.0		3	1	G3719506	0	0	0				
160	URN:CornellLabOfOrnithology:EBIRD:OBS697698270	2019-01-17 13:40:27.0	5822	species	Long-toed Stint	Calidris subminuta			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Aluva--Karumalloor	L3086071	H	10.1319195	76.2873137	2019-01-06	08:49:00	obsr1001549	S51619987	Traveling	P22	EBIRD_IND	30.0	0.17		3	1	G3755484	1	0	0			Photo will attach	
165	URN:CornellLabOfOrnithology:EBIRD:OBS701666008	2019-01-29 22:44:04.0	1847	species	Nilgiri Wood-Pigeon	Columba elphinstonii			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					eldhose lodge	L8473482	P	10.116224699999998	76.673879	2019-01-18	07:00:00	obsr681470	S51949092	Traveling	P22	EBIRD	60.0	1.0		6	1	G3812410	1	0	0				
180	URN:CornellLabOfOrnithology:EBIRD:OBS697697954	2019-01-13 04:49:44.0	5910	species	Pin-tailed Snipe	Gallinago stenura			6				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Aluva--Veliyathunadu	L4996926	H	10.1386577	76.32585970000001	2019-01-06	07:03:00	obsr1001549	S51619972	Traveling	P22	EBIRD_IND	86.0	1.16		3	1	G3755482	1	0	0			Individually counted	
209	URN:CornellLabOfOrnithology:EBIRD:OBS701679837	2019-01-29 22:43:49.0	20371	species	White-bellied Treepie	Dendrocitta leucogastra			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Eldose birding camp	L8380086	H	10.1029268	76.7012	2019-01-19	14:30:00	obsr681470	S51950164	Stationary	P21	EBIRD	180.0			6	1	G3812404	1	0	0			observed the same number of the particular species near the spot..as it was the only water source available	
212	URN:CornellLabOfOrnithology:EBIRD:OBS703347378	2019-02-05 11:50:41.0	7577	species	White-eyed Buzzard	Butastur teesa			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Ernakulam, Kerala, IN (9.91, 76.316)	L8503474	P	9.9096481	76.316298	2019-01-27	12:10:00	obsr823367	S52085083	Traveling	P22	EBIRD_IND	15.0	1.0		3	1	G3831201	1	0	0			Seen sitting on the pole. Identified as it has got specific identification of its whitish eyes. Photograph attached.	
215	URN:CornellLabOfOrnithology:EBIRD:OBS698188948	2019-01-16 09:39:37.0	29437	species	White Wagtail	Motacilla alba			6				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thiruvankulam--Kavaleeswaram (Paddy Field)	L3385882	H	9.9416101	76.3785276	2019-01-13	07:43:00	obsr1196810	S51660232	Stationary	P21	EBIRD	15.0			4	1	G3759865	0	0	0			COUNTED AND PHOTOGRAPHED	
216	URN:CornellLabOfOrnithology:EBIRD:OBS699306635	2019-01-17 02:24:58.0	29437	species	White Wagtail	Motacilla alba			7				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thiruvankulam--Kavaleeswaram (Paddy Field)	L3385882	H	9.9416101	76.3785276	2019-01-13	09:13:00	obsr509242	S51754844	Stationary	P21	EBIRD	15.0			3	1	G3759889	1	0	0			counted	
219	URN:CornellLabOfOrnithology:EBIRD:OBS699306639	2019-01-17 02:25:04.0	29437	species	White Wagtail	Motacilla alba			9				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thiruvankulam--Kavaleeswaram (Paddy Field)	L3385882	H	9.9416101	76.3785276	2019-01-13	08:13:00	obsr509242	S51754845	Stationary	P21	EBIRD	15.0			5	1	G3759881	0	0	0			COUNTED	
243	URN:CornellLabOfOrnithology:EBIRD:OBS703375277	2019-02-05 02:05:38.0	3234	species	Banded Bay Cuckoo	Cacomantis sonneratii			3				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Periyar Tiger Reserve--Manakavala	L8096276	H	9.5331545	77.2316956	2019-01-25	12:55:00	obsr893087	S52087199	Traveling	P22	EBIRD	15.0	0.032		4	1	G3801990	0	0	0			Call	
246	URN:CornellLabOfOrnithology:EBIRD:OBS702808218	2019-02-05 13:20:19.0	26880	species	Blue-and-white Flycatcher	Cyanoptila cyanomelana			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Kanthalloor Panchayat Office area	L8491546	P	10.2153764	77.1941236	2019-01-24	09:28:00	obsr906960	S52042441	Traveling	P22	EBIRD	170.0	4.5		5	1	G3794970	1	0	0				
253	URN:CornellLabOfOrnithology:EBIRD:OBS703817066	2019-02-02 04:15:50.0	7171	species	Black-crowned Night-Heron	Nycticorax nycticorax			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Damsite Camp	L8505783	P	9.532734800000002	77.14814190000001	2019-01-26	22:01:00	obsr556980	S52123387	Traveling	P22	EBIRD	15.0	0.31		2	1	G3806251	0	0	0		Call heard distinctly - the bird was circling about above for more than 30 seconds - call was recorded	Call heard for more than a minute by two observers	
256	URN:CornellLabOfOrnithology:EBIRD:OBS699017459	2019-01-16 09:24:55.0	7719	species	Besra	Accipiter virgatus			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					The Only place, Guest house	L8426701	P	10.1776476	77.253778	2019-01-14	06:45:00	obsr472810	S51730586	Traveling	P22	EBIRD	60.0	0.5		4	1	G3766878	1	0	0			Prominent gular striped and barred thighs. Thick, dense barring of underparts	
261	URN:CornellLabOfOrnithology:EBIRD:OBS704627499	2019-01-31 07:18:36.0	6818	species	Black Stork	Ciconia nigra			2				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Periyar Lake	L5388694	P	9.5274001	77.17616559999999	2019-01-10	08:30:00	obsr508201	S52197190	Traveling	P22	EBIRD	250.0	24.0		4	1	G3815182	0	0	0			One bird was sighted in flight and the other foraging at the lakeshore. Photos will be attached later	
