	GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	Unnamed: 46
25	URN:CornellLabOfOrnithology:EBIRD:OBS701019710	2019-02-03 01:29:24.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr809396	S51894818	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	1	0	0			When we reached the location we saw two bird photographers and they told us that they saw 6 black baza at a time.	
26	URN:CornellLabOfOrnithology:EBIRD:OBS701019773	2019-01-22 06:23:22.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr638917	S51894819	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	1	0	0			When we reach the location we saw two bird photographers,and they told us that they seen 6 black baza at a time.	
27	URN:CornellLabOfOrnithology:EBIRD:OBS701019647	2019-01-22 06:23:22.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr527144	S51894817	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	1	0	0			When we reach the location we saw two bird photographers,and they told us that they seen 6 black baza at a time.	
28	URN:CornellLabOfOrnithology:EBIRD:OBS700962359	2019-01-21 06:12:49.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	09:15:00	obsr668639	S51890245	Stationary	P21	EBIRD	45.0			5	1		0	0	0			Photograhed.-- Will be uploaded later.	
29	URN:CornellLabOfOrnithology:EBIRD:OBS701368094	2019-01-22 06:23:22.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr509242	S51923583	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	1	0	0			When we reach the location we saw two bird photographers,and they told us that they seen 6 black baza at a time.	
30	URN:CornellLabOfOrnithology:EBIRD:OBS701369798	2019-02-10 10:11:57.0	19436	species	Black Drongo	Dicrurus macrocercus			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.132373699999999	76.687333	2019-01-19	10:42:00	obsr946757	S51923716	Traveling	P22	EBIRD	420.0	9.656		4	0		0	0	0			Present in large number	
31	URN:CornellLabOfOrnithology:EBIRD:OBS699317438	2019-01-28 08:55:34.0	9261	species	Blue-eared Kingfisher	Alcedo meninting			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-17	07:00:00	obsr948471	S51755668	Traveling	P22	EBIRD	300.0	13.0		2	0		0	0	0			.	
32	URN:CornellLabOfOrnithology:EBIRD:OBS702570792	2019-01-27 02:55:08.0	19379	species	Black-hooded Oriole	Oriolus xanthornus			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.132373699999999	76.687333	2019-01-17	07:30:00	obsr348755	S52022299	Traveling	P22	EBIRD_CAN	180.0	3.0		2	1		0	0	0		with VJ Zacharias		
33	URN:CornellLabOfOrnithology:EBIRD:OBS701369851	2019-02-10 10:11:57.0	10947	species	Black-rumped Flameback	Dinopium benghalense			16				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.132373699999999	76.687333	2019-01-19	10:42:00	obsr946757	S51923716	Traveling	P22	EBIRD	420.0	9.656		4	0		0	0	0			Present in large number	
34	URN:CornellLabOfOrnithology:EBIRD:OBS702570787	2019-01-27 02:55:08.0	23938	species	Blyth's Reed Warbler	Acrocephalus dumetorum			6				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.132373699999999	76.687333	2019-01-17	07:30:00	obsr348755	S52022299	Traveling	P22	EBIRD_CAN	180.0	3.0		2	1		0	0	0		with VJ Zacharias		
35	URN:CornellLabOfOrnithology:EBIRD:OBS701368120	2019-01-22 06:23:22.0	10584	species	Brown-capped Woodpecker	Yungipicus nanus			3			Female, Adult (1); Male, Adult (1); Unknown Sex, Adult (1)	India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr509242	S51923583	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	0	0	0			Seen several locations	
36	URN:CornellLabOfOrnithology:EBIRD:OBS701019799	2019-01-22 06:23:22.0	10584	species	Brown-capped Woodpecker	Yungipicus nanus			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr638917	S51894819	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	0	0	0			Seen several locations	
37	URN:CornellLabOfOrnithology:EBIRD:OBS701019673	2019-01-22 06:23:22.0	10584	species	Brown-capped Woodpecker	Yungipicus nanus			3			Female, Adult (1); Male, Adult (1); Unknown Sex, Adult (1)	India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr527144	S51894817	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	0	0	0			Seen several locations	
38	URN:CornellLabOfOrnithology:EBIRD:OBS701019736	2019-02-03 01:29:24.0	10584	species	Brown-capped Woodpecker	Yungipicus nanus			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr809396	S51894818	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	0	0	0			Seen several locations	
39	URN:CornellLabOfOrnithology:EBIRD:OBS698976433	2019-01-16 09:44:56.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858000000001	76.252261	2019-01-13	07:25:00	obsr668448	S51653198	Traveling	P22	EBIRD_IND	216.0	4.55		15	1	G3755479	1	0	0				
40	URN:CornellLabOfOrnithology:EBIRD:OBS698167880	2019-01-16 09:44:56.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858000000001	76.252261	2019-01-13	07:25:00	obsr464023	S51619939	Traveling	P22	EBIRD_IND	216.0	4.55		15	1	G3755479	1	0	0				
41	URN:CornellLabOfOrnithology:EBIRD:OBS698211164	2019-01-16 09:44:56.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858000000001	76.252261	2019-01-13	07:25:00	obsr1010040	S51661661	Traveling	P22	EBIRD_IND	216.0	4.55		15	1	G3755479	1	0	0				
42	URN:CornellLabOfOrnithology:EBIRD:OBS698196797	2019-01-16 09:44:56.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858000000001	76.252261	2019-01-13	07:25:00	obsr544111	S51660736	Traveling	P22	EBIRD_IND	216.0	4.55		15	1	G3755479	1	0	0				
43	URN:CornellLabOfOrnithology:EBIRD:OBS703920271	2019-01-28 10:13:57.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakudy Road, Ernakulam, Kerala, IN (10.064, 76.255)	L8270785	P	10.0640668	76.25523050000001	2019-01-27	07:10:00	obsr823368	S52131385	Traveling	P22	EBIRD_IND	45.0	2.0		4	1	G3807028	0	0	0			Identified with the help of filed book	
44	URN:CornellLabOfOrnithology:EBIRD:OBS699340791	2019-01-17 08:23:58.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858000000001	76.252261	2019-01-13	07:25:00	obsr778170	S51757532	Traveling	P22	EBIRD_IND	216.0	4.55		15	1	G3755479	1	0	0				
45	URN:CornellLabOfOrnithology:EBIRD:OBS700630321	2019-01-21 00:23:46.0	7823	species	Brahminy Kite	Haliastur indus			61				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Puthuvype Beach - Valappu Road, Vypin, Kerala, IN (10.007, 76.218)	L6422299	P	10.0067417	76.21817	2019-01-20	10:18:00	obsr556980	S51863711	Traveling	P22	EBIRD	120.0	4.21		2	1	G3782438	0	0	0		AWC count at 4 points along a 4km stretch at Puthuvype on Vypeen Island, Cochin. --Salt water marshes and seafront. 40-50% coverage. --Human activity, LNG terminal,  garbage and traffic are disturbance and threat for the birds. 	Soaring in large groups	
46	URN:CornellLabOfOrnithology:EBIRD:OBS700923405	2019-01-21 00:23:46.0	7823	species	Brahminy Kite	Haliastur indus			61				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Puthuvype Beach - Valappu Road, Vypin, Kerala, IN (10.007, 76.218)	L6422299	P	10.0067417	76.21817	2019-01-20	10:18:00	obsr1196810	S51887325	Traveling	P22	EBIRD	120.0	4.21		2	1	G3782438	0	0	0		AWC count at 4 points along a 4km stretch at Puthuvype on Vypeen Island, Cochin. --Salt water marshes and seafront. 40-50% coverage. --Human activity, LNG terminal,  garbage and traffic are disturbance and threat for the birds. 	Soaring in large groups	
47	URN:CornellLabOfOrnithology:EBIRD:OBS699048096	2019-01-19 08:28:28.0	26513	species	Brown-breasted Flycatcher	Muscicapa muttui			5				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-12	07:15:00	obsr543220	S51732548	Traveling	P22	EBIRD_IND	660.0	15.0		2	1		1	0	0			Photographed multiple times and seen at different areas of the park, conservative estimate	
